Title, Career, Grading, Class Number, Type, Credits, GE, Status, Available Seats, Enrollment Cap, Enrolled, WaitCap, WaitList
['\n        ANTH 134 - 01\xa0\xa0 Medical Anthropology: An Introduction    ', 'Undergraduate', 'Student Option', '40919', 'Lecture', '5 units', '\xa0', ' Closed', '0', '0', '49', '0', '0']
['\n        ANTH 143 - 01\xa0\xa0 Performance and Power    ', 'Undergraduate', 'Student Option', '42916', 'Lecture', '5 units', '\xa0', ' Open', '2', '50', '48', '0', '0']
['\n        ANTH 152 - 01\xa0\xa0 Survey of Cultural Anthropological Theory    ', 'Undergraduate', 'Student Option', '43475', 'Lecture', '5 units', 'TA', ' Open', '21', '76', '55', '0', '0']
['\n        ANTH 176F - 01\xa0\xa0 California Archaeology    ', 'Undergraduate', 'Student Option', '43205', 'Lecture', '5 units', '\xa0', ' Open', '5', '70', '65', '0', '0']
['\n        ANTH 182A - 01\xa0\xa0 Lithic Technology    ', 'Undergraduate', 'Student Option', '40920', 'Laboratory', '5 units', '\xa0', ' Closed', '0', '0', '20', '0', '0']
['\n        ANTH 188B - 01\xa0\xa0 Practicum in Archaeology B    ', 'Undergraduate', 'Student Option', '43811', 'Laboratory', '2 units', 'PR-S', ' Closed', '0', '10', '10', '0', '0']
['\n        ANTH 195B - 01\xa0\xa0 Senior Thesis Research    ', 'Undergraduate', 'Student Option', '43109', 'Laboratory', '3 units', '\xa0', ' Open', '3', '7', '4', '0', '0']
['\n        ANTH 196K - 01\xa0\xa0 Settler Colonialism    ', 'Undergraduate', 'Student Option', '43076', 'Seminar', '5 units', '\xa0', ' Open', '2', '16', '14', '0', '0']
['\n        ANTH 196U - 01\xa0\xa0 Historical Anthropology    ', 'Undergraduate', 'Student Option', '43196', 'Seminar', '5 units', '\xa0', ' Open', '4', '16', '12', '0', '0']
['\n        ANTH 196W - 01\xa0\xa0 Anthropology of Weather and Exposure    ', 'Undergraduate', 'Student Option', '43327', 'Seminar', '5 units', '\xa0', ' Open', '5', '16', '11', '0', '0']
['\n        ANTH 200B - 01\xa0\xa0 Cultural Graduate Core Course    ', 'Graduate', 'Student Option', '40921', 'Seminar', '5 units', '\xa0', ' Open', '3', '5', '2', '0', '0']
['\n        ANTH 216 - 01\xa0\xa0 Methods in Biological Anthropology    ', 'Graduate', 'Student Option', '42739', 'Seminar', '5 units', '\xa0', ' Open', '7', '10', '3', '0', '0']
